Name_EN,Name_CN,LAT,LNG,Address_EN,Address_CN,Province_EN,Province_CN,City_EN,City_CN,Area_EN,Area_CN,Telephone,BuiltYear,BuiltMonth
Arshan Irsch Airport,阿尔山伊尔施机场,47.318031,119.926031,"County Road 407, Ilshi Town, Arshan City, Xing'an Meng",兴安盟阿尔山市伊尔施镇407县道,Neimenggu,内蒙古自治区,Xing'an Meng,兴安盟,Arshan,阿尔山市,(0482)7186888,2011,8
Ali Kunsha Airport,阿里昆莎机场,32.105472,80.061848,"Kunsha Township, Gar County, Ali Region, Tibet",西藏阿里地区噶尔县昆莎乡,Xizang,西藏自治区,Ali,阿里地区,Gar,噶尔县,,2010,7
Altay Airport,阿勒泰机场,47.758152,88.092652,"National Highway 216 in Altay City, Altay Region",阿勒泰地区阿勒泰市216国道,Xinjiang,新疆维吾尔自治区,Altay,阿勒泰地区,Altai,阿勒泰市,(0906)2826116,1956,10
Alxa Right Banner Airport,阿拉善右旗机场,39.207246,101.563153,"Alxa League Alxa Right Banner Airport Road, Inner Mongolia Autonomous Region",内蒙古自治区阿拉善盟阿拉善右旗机场路,Neimenggu,内蒙古自治区,Alxa Meng,阿拉善盟,Alxa Right,阿拉善右旗,,2013,8
Ankang Airport,安康机场,32.71336,108.946275,Next to National Highway 316 in Wuli Town,五里镇316国道旁,Shaanxi,陕西省,Ankang,安康市,Hanbin,汉滨区,,,
Aksu Airport,阿克苏机场,41.269221,80.298422,"Airport Avenue, Aksu City, Aksu Region",阿克苏地区阿克苏市机场大道,Xinjiang,新疆维吾尔自治区,Aksu,阿克苏地区,Aksu,阿克苏市,,1973,0
Anshan Teng'ao Airport,鞍山腾鳌机场,41.112934,122.867024,"No. 421, Anteng Road, Ningyuan Town, Tiexi District, Anshan City",鞍山市铁西区宁远镇鞍腾路421号,Liaoning,辽宁省,Anshan,鞍山市,Tiexi,铁西区,(0412)6374999,1987,0
Anqing Tianzhushan Airport,安庆天柱山机场,30.585998,117.061269,"Airport Road, Yixiu District, Anqing City",安庆市宜秀区机场路,Anhui,安徽省,Anqing,安庆市,Yixiu,宜秀区,(0556)5861114,1993,10
Anshun Huangguoshu Airport,安顺黄果树机场,26.262808,105.883722,"Airport Road, Xixiu District, Anshun City",安顺市西秀区机场路,Guizhou,贵州省,Anshun,安顺市,Xixiu,西秀区,,2004,9
Alxa Left Banner Airport,阿拉善左旗机场,38.756221,105.599913,Alxa League Alxa Left Banner Airport Highway in Inner Mongolia Autonomous Region,内蒙古自治区阿拉善盟阿拉善左旗机场公路,Neimenggu,内蒙古自治区,Alxa Meng,阿拉善盟,Alxa Left,阿拉善左旗,,2013,8
Anyang Northern Suburbs Airport,安阳北郊机场,36.138494,114.353291,"No. 41, Shengli Road, Beiguan District, Anyang City, Henan Province (in Anyang Aviation Sports School)",河南省安阳市北关区胜利路41号(安阳航空运动学校内),Henan,河南省,Anyang,安阳市,Beiguan,北关区,(0372)2922675,,
Bijie Feixiong Airport,毕节飞雄机场,27.268074,105.489543,Dafang County 004 County Road,大方县004县道,Guizhou,贵州省,Bijie,毕节市,Dafang,大方县,,2013,6
Beihai Fucheng Airport,北海福成机场,21.542961,109.301882,"Next to Fucheng Town, Yinhai District, Beihai City",北海市银海区福成镇旁,Guangxi,广西壮族自治区,Beihai,北海市,Yinhai,银海区,(0779)8512770,1987,3
Bole Alashankou Airport,博乐阿拉山口机场,44.904522,82.309927,"Provincial Highway 205, Utu Prague Town, Bole City, Bortala Mongolian Autonomous Prefecture",博尔塔拉蒙古自治州博乐市乌图布拉格镇205省道,Xinjiang,新疆维吾尔自治区,Bortala Mongolia Autonomous Prefecture,博尔塔拉蒙古自治州,Bole,博乐市,(0909)6777777,2010,7
Baoshan Yunrui Airport,保山云瑞机场,25.054733,99.174803,"Hangrui Expressway, Longyang District, Baoshan City",保山市隆阳区杭瑞高速,Yunnan,云南省,Baoshan,保山市,Longyang,隆阳区,(0875)2232266,1958,4
Bazhong Enyang Airport,巴中恩阳机场,31.745002,106.658075,"Phoenix Temple in Xinglong Township, Enyang District, Bazhong City, Sichuan Province",四川省巴中市恩阳区兴隆乡凤凰庙,Sichuan,四川省,Bazhong,巴中市,Enyang,恩阳区,,2019,2
Burzin Kanas Airport,布尔津喀纳斯机场,48.229425,87.007136,74 kilometers northwest of Burqin County in Altay Region,阿勒泰地区布尔津县城西北74公里,Xinjiang,新疆维吾尔自治区,Altay,阿勒泰地区,Burzin,布尔津县,,2007,8
Beijing Miyun Mujiayu Airport,北京密云穆家峪机场,40.408494,116.894036,"Shuangsha Road, Mujiayu Town, Miyun District, Beijing",北京市密云区穆家峪镇双沙路,Beijing,北京市,Beijing,北京市,Miyun,密云区,(010)61069156,,
Beijing Nanyuan Airport,北京南苑机场,39.799178,116.406169,"No. 6, Jianbei East Road, Nanyuan Town, Fengtai District, Beijing",北京市丰台区南苑镇警备东路6号,Beijing,北京市,Beijing,北京市,Fengtai,丰台区,(010)87106883,1910,0
Changbaishan Airport,长白山机场,42.073601,127.620748,"Chixi District, Changbaishan Conservation and Development Zone, Songjianghe Town, Fusong County, Baishan City",白山市抚松县松江河镇长白山保护开发区池西区,Jilin,吉林省,Baishan,白山市,Fusong,抚松县,(0439)6259111,2008,8
Beijing Capital International Airport,北京首都国际机场,40.083812,116.609564,"Airport West Road, Chaoyang District, Beijing",北京市朝阳区机场西路,Beijing,北京市,Beijing,北京市,Chaoyang,朝阳区,(010)96158,1958,3
Beijing Daxing International Airport,北京大兴国际机场,39.511571,116.423796,"Daxing District, Beijing",北京市大兴区,Beijing,北京市,Beijing,北京市,Daxing,大兴区,(010)96158,2019,9
Baise Bama Airport,百色巴马机场,23.723292,106.971241,"National Highway 324, Tianyang District, Baise City",百色市田阳区324国道,Guangxi,广西壮族自治区,Baise,百色市,Tianyang,田阳区,(0776)3233666,2007,2
